zip,total_fire_count,total_acres,fire_year_count,avg_tmax_c,avg_tmin_c,avg_prcp_mm,target_2023
90001,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90002,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90003,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90004,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90005,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90006,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90007,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90008,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90009,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90010,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90011,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90012,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90013,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90014,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90015,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90016,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90017,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90018,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90019,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90020,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90021,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90022,0.0,0.0,0,23.808723255115915,13.151163656267105,281.08000000000004,0
90023,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90024,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90025,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90026,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90027,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90028,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90029,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90030,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90031,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90032,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90033,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90034,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90035,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90036,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90037,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90038,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90039,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90040,0.0,0.0,0,23.808723255115915,13.151163656267105,281.08000000000004,0
90041,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90042,0.0,0.0,0,24.746477616222613,12.360861768808377,313.98,0
90043,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
90044,0.0,0.0,0,22.198906072885215,13.309137105602346,289.5,0
