zip,alarm_year,fire_count,total_acres,fire_occurred,avg_tmax_c,avg_tmin_c,tot_prcp_mm
90001,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90001,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90001,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90001,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90001,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90001,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90002,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90002,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90002,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90002,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90002,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90002,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90003,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90003,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90003,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90003,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90003,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90003,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90004,2018,0.0,0.0,0,25.158717357910906,13.129991679467485,260.3
90004,2019,0.0,0.0,0,23.813006272401434,12.285006400409626,538.0
90004,2020,0.0,0.0,0,25.716350574712646,12.86877889012483,236.8
90004,2021,0.0,0.0,0,25.105439068100356,12.805476190476192,298.0
90004,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90004,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90005,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90005,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90005,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90005,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90005,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90005,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90006,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90006,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90006,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90006,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90006,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90006,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90007,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90007,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90007,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90007,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90007,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90007,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90008,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90008,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90008,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90008,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90008,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90008,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90009,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90009,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90009,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90009,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
90009,2022,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90009,2023,0.0,0.0,0,23.938874807987713,10.71505568356375,236.8
90010,2018,0.0,0.0,0,22.31929211469534,14.603904249871993,198.1
90010,2019,0.0,0.0,0,21.559566692268305,13.958907450076806,475.7
90010,2020,0.0,0.0,0,22.29854406130268,14.032893029291806,229.6
90010,2021,0.0,0.0,0,20.878252688172044,13.234925115207373,307.3
